# freq 	 sqrt(Sn)
1.101753e+01	5.605061e-25
1.104294e+01	5.568828e-25
1.106841e+01	5.532829e-25
1.109393e+01	5.497063e-25
1.111951e+01	5.461533e-25
1.114515e+01	5.426239e-25
1.117085e+01	5.391183e-25
1.119661e+01	5.356365e-25
1.122243e+01	5.321788e-25
1.124831e+01	5.287452e-25
1.127425e+01	5.253358e-25
1.130025e+01	5.219507e-25
1.132631e+01	5.185900e-25
1.135243e+01	5.152538e-25
1.137861e+01	5.119423e-25
1.140484e+01	5.086554e-25
1.143114e+01	5.053932e-25
1.145750e+01	5.021559e-25
1.148393e+01	4.989435e-25
1.151041e+01	4.957560e-25
1.153695e+01	4.925935e-25
1.156355e+01	4.894560e-25
1.159022e+01	4.863436e-25
1.161695e+01	4.832564e-25
1.164374e+01	4.801943e-25
1.167059e+01	4.771573e-25
1.169750e+01	4.741456e-25
1.172447e+01	4.711590e-25
1.175151e+01	4.681977e-25
1.177861e+01	4.652615e-25
1.180577e+01	4.623505e-25
1.183300e+01	4.594647e-25
1.186028e+01	4.566041e-25
1.188763e+01	4.537686e-25
1.191505e+01	4.509581e-25
1.194252e+01	4.481727e-25
1.197006e+01	4.454123e-25
1.199766e+01	4.426769e-25
1.202533e+01	4.399663e-25
1.205306e+01	4.372806e-25
1.208086e+01	4.346196e-25
1.210872e+01	4.319834e-25
1.213664e+01	4.293717e-25
1.216462e+01	4.267846e-25
1.219268e+01	4.242219e-25
1.222079e+01	4.216835e-25
1.224897e+01	4.191694e-25
1.227722e+01	4.166794e-25
1.230553e+01	4.142135e-25
1.233391e+01	4.117714e-25
1.236235e+01	4.093532e-25
1.239086e+01	4.069586e-25
1.241943e+01	4.045876e-25
1.244807e+01	4.022400e-25
1.247678e+01	3.999157e-25
1.250555e+01	3.976145e-25
1.253439e+01	3.953364e-25
1.256329e+01	3.930811e-25
1.259226e+01	3.908486e-25
1.262130e+01	3.886386e-25
1.265040e+01	3.864510e-25
1.267958e+01	3.842858e-25
1.270881e+01	3.821426e-25
1.273812e+01	3.800213e-25
1.276750e+01	3.779219e-25
1.279694e+01	3.758441e-25
1.282645e+01	3.737877e-25
1.285603e+01	3.717526e-25
1.288567e+01	3.697386e-25
1.291539e+01	3.677457e-25
1.294517e+01	3.657734e-25
1.297502e+01	3.638218e-25
1.300494e+01	3.618906e-25
1.303493e+01	3.599796e-25
1.306499e+01	3.580888e-25
1.309512e+01	3.562178e-25
1.312531e+01	3.543666e-25
1.315558e+01	3.525348e-25
1.318592e+01	3.507225e-25
1.321632e+01	3.489293e-25
1.324680e+01	3.471552e-25
1.327735e+01	3.453998e-25
1.330797e+01	3.436631e-25
1.333865e+01	3.419449e-25
1.336941e+01	3.402449e-25
1.340024e+01	3.385630e-25
1.343115e+01	3.368991e-25
1.346212e+01	3.352529e-25
1.349316e+01	3.336242e-25
